shift,Minute,Time_start_raw,Time_end_raw,time_start_adjusted,time_end_adjusted,Behavior
4,0,41.601,42.303,37.601,38.303,Rear
4,0,54.967,55.903,50.967,51.903,Rear
4,1,60.08,61.884,56.08,57.884,Rear
4,1,64.892,65.727,60.892,61.727,Rear
4,1,67.331,68.3,63.331,64.3,Rear
4,1,68.668,70.272,64.668,66.272,Rear
4,1,70.305,70.639,66.305,66.639,Jump
4,1,70.773,72.444,66.773,68.444,Rear
4,1,73.379,74.315,69.379,70.315,Rear
4,1,75.518,76.353,71.518,72.353,Rear
4,1,82.97,84.005,78.97,80.005,Rear
4,1,84.974,85.409,80.974,81.409,Jump
4,1,87.948,88.984,83.948,84.984,Rear
4,1,89.552,90.388,85.552,86.388,Rear
4,1,90.421,90.856,86.421,86.856,Jump
4,1,92.526,92.994,88.526,88.994,Jump
4,1,101.448,106.127,97.448,102.127,Rear
4,1,106.828,110.638,102.828,106.638,Rear
4,1,119.426,119.894,115.426,115.894,Jump
4,2,122.3,123.169,118.3,119.169,Rear
4,2,124.338,124.839,120.338,120.839,Jump
4,2,128.114,132.859,124.114,128.859,Rear
4,2,134.53,134.964,130.53,130.964,Rear
4,2,136.869,138.072,132.869,134.072,Rear
4,2,138.105,138.506,134.105,134.506,Jump
4,2,139.409,140.177,135.409,136.177,Rear
4,2,140.211,140.645,136.211,136.645,Jump
4,2,140.678,141.079,136.678,137.079,Rear
4,2,141.113,141.581,137.113,137.581,Jump
4,2,146.326,146.894,142.326,142.894,Rear
4,2,149.266,150.836,145.266,146.836,Rear
4,2,152.14,152.44,148.14,148.44,Rear
4,2,155.214,155.648,151.214,151.648,Jump
4,2,156.216,156.684,152.216,152.684,Jump
4,3,207.008,207.509,203.008,203.509,Rear
4,3,209.514,211.385,205.514,207.385,Rear
4,3,213.223,213.591,209.223,209.591,Jump
4,3,215.262,216.398,211.262,212.398,Rear
4,3,216.889,217.266,212.889,213.266,Rear
4,3,218.235,218.67,214.235,214.67,Jump
4,3,220.04,220.775,216.04,216.775,Rear
4,3,220.809,221.143,216.809,217.143,Jump
4,3,222.011,222.546,218.011,218.546,Jump
4,3,223.482,223.816,219.482,219.816,Rear
4,3,227.859,228.294,223.859,224.294,Jump
4,3,229.931,231.802,225.931,227.802,Rear
4,3,231.836,232.103,227.836,228.103,Jump
4,3,232.671,233.306,228.671,229.306,Rear
4,3,234.542,234.91,230.542,230.91,Jump
4,3,238.385,239.254,234.385,235.254,Rear
4,3,239.655,239.989,235.655,235.989,Rear
4,4,242.128,242.629,238.128,238.629,Jump
4,4,243.331,243.798,239.331,239.798,Jump
4,4,244.534,244.868,240.534,240.868,Rear
4,4,245.536,245.97,241.536,241.97,Jump
4,4,248.343,249.111,244.343,245.111,Rear
4,4,250.715,251.05,246.715,247.05,Jump
4,4,251.918,252.186,247.918,248.186,Rear
4,4,258.334,258.902,254.334,254.902,Jump
4,4,264.215,264.449,260.215,260.449,Rear
4,4,265.017,265.886,261.017,261.886,Rear
4,4,266.755,267.49,262.755,263.49,Rear
4,4,269.395,269.963,265.395,265.963,Jump
4,4,271.6,272.068,267.6,268.068,Jump
4,4,272.87,273.304,268.87,269.304,Jump
4,4,274.774,275.276,270.774,271.276,Jump
4,5,305.55,308.624,301.55,304.624,Rear
4,6,390.292,391.027,386.292,387.027,Rear
4,6,391.495,393.266,387.495,389.266,Rear
4,6,394.97,395.806,390.97,391.806,Rear
4,6,399.515,399.982,395.515,395.982,Jump
4,6,400.951,401.419,396.951,397.419,Jump
4,6,407.802,410.943,403.802,406.943,Rear
4,6,416.456,417.392,412.456,413.392,Rear
4,7,421.168,421.569,417.168,417.569,Jump
4,7,425.679,426.381,421.679,422.381,Rear
4,7,427.249,427.784,423.249,423.784,Jump
4,7,428.787,433.298,424.787,429.298,Rear
4,7,433.431,436.606,429.431,432.606,Rear
4,7,444.024,445.26,440.024,441.26,Rear
4,7,447.466,448.001,443.466,444.001,Jump
4,7,448.234,448.401,444.234,444.401,Rear
4,7,455.519,456.488,451.519,452.488,Rear
4,7,456.922,458.025,452.922,454.025,Rear
4,7,460.431,460.765,456.431,456.765,Jump
4,7,461.367,461.868,457.367,457.868,Jump
4,7,462.536,463.071,458.536,459.071,Jump
4,7,465.778,466.212,461.778,462.212,Jump
4,7,467.983,468.752,463.983,464.752,Rear
4,7,470.055,470.589,466.055,466.589,Jump
4,7,472.127,472.628,468.127,468.628,Jump
4,7,477.506,478.609,473.506,474.609,Rear
4,7,478.643,478.977,474.643,474.977,Jump
4,8,482.652,483.454,478.652,479.454,Rear
4,8,484.056,484.858,480.056,480.858,Rear
4,8,486.896,487.297,482.896,483.297,Jump
4,8,491.808,492.31,487.808,488.31,Jump
4,8,493.212,493.68,489.212,489.68,Jump
4,8,494.114,494.615,490.114,490.615,Jump
4,8,495.25,495.584,491.25,491.584,Rear
4,8,495.985,496.42,491.985,492.42,Jump
4,8,496.821,497.255,492.821,493.255,Jump
4,8,498.993,499.427,494.993,495.427,Rear
4,8,499.861,500.363,495.861,496.363,Jump
4,8,502.635,503.571,498.635,499.571,Rear
4,8,503.604,504.105,499.604,500.105,Jump
4,8,504.373,504.707,500.373,500.707,Rear
4,8,505.843,508.917,501.843,504.917,Rear
4,8,508.951,509.418,504.951,505.418,Jump
4,9,558.773,560.611,554.773,556.611,Rear
4,9,572.808,573.476,568.808,569.476,Rear
4,9,573.877,581.095,569.877,577.095,Rear
4,9,582.632,583.133,578.632,579.133,Jump
4,9,584.002,585.138,580.002,581.138,Rear
4,9,585.171,585.606,581.171,581.606,Jump
4,9,586.107,586.608,582.107,582.608,Jump
4,9,595.296,595.764,591.296,591.764,Jump
4,9,596.165,596.566,592.165,592.566,Jump
4,9,599.507,599.974,595.507,595.974,Jump
4,10,600.342,600.834,596.342,596.834,Jump
4,10,601.545,602.079,597.545,598.079,Jump
4,10,602.781,603.316,598.781,599.316,Jump
